# decision options: KEEP, CREATE, EXPAND, MERGE, RENAME, DELETE, ADD_TO_BLUEPRINT
source,tab,position,blueprint_name,blueprint_type,blueprint_phase,repo_file,status,word_count,has_title,has_description,brand_violations,decision,notes
REPO_ONLY,ABOUT,,,,,v2/about/navigator.mdx,EXISTS,445,true,true,banned:just,,
REPO_ONLY,ABOUT,,,,,v2/about/network/actors.mdx,EXISTS,1786,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/network/architecture.mdx,EXISTS,703,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network/design.mdx,EXISTS,788,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network/design2.mdx,EXISTS,1410,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/network/interfaces.mdx,EXISTS,767,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network/job-pipelines.mdx,EXISTS,810,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network/marketplace-model.mdx,EXISTS,790,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network/mechanisms.mdx,EXISTS,1220,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network/metrics.mdx,EXISTS,1177,true,true,banned:just; deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/network/observability.mdx,EXISTS,594,false,false,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/network/participation.mdx,EXISTS,942,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network1/actors.mdx,EXISTS,648,true,true,banned:simply; deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/network1/architecture.mdx,EXISTS,758,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network1/demand-side.mdx,STUB,20,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network1/design.mdx,EXISTS,1130,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/network1/economic-model.mdx,EXISTS,115,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network1/growth-model.mdx,EXISTS,104,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network1/interfaces.mdx,EXISTS,601,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network1/job-pipelines.mdx,EXISTS,608,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network1/livepeer-actors/delegators.mdx,EXISTS,145,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network1/livepeer-actors/end-users.mdx,EXISTS,124,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network1/livepeer-actors/gateways.mdx,EXISTS,153,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network1/livepeer-actors/orchestrators.mdx,EXISTS,153,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network1/marketplace-model.mdx,EXISTS,729,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network1/mechanics.mdx,EXISTS,514,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network1/supply-side.mdx,STUB,17,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network2/actors.mdx,EXISTS,639,true,true,banned:simply; deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/network2/demand-side.mdx,STUB,20,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network2/fee-flow.mdx,STUB,18,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network2/interfaces.mdx,EXISTS,282,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network2/job-lifecycle.mdx,EXISTS,725,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/network2/livepeer-actors/delegators.mdx,EXISTS,145,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network2/livepeer-actors/end-users.mdx,EXISTS,124,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network2/livepeer-actors/gateways.mdx,EXISTS,153,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network2/livepeer-actors/orchestrators.mdx,EXISTS,153,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network2/marketplace.mdx,EXISTS,445,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network2/overview.mdx,EXISTS,238,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/network2/scaling.mdx,STUB,24,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network2/supply-side.mdx,STUB,17,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/network2/technical-architecture.mdx,EXISTS,387,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/portal.mdx,EXISTS,83,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol/actors.mdx,EXISTS,259,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol/architecture.mdx,EXISTS,971,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol/blockchain-contracts.mdx,EXISTS,3245,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol/design.mdx,EXISTS,598,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol/governance-and-treasury.mdx,EXISTS,1036,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol/livepeer-token.mdx,EXISTS,1237,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol/mechanisms.mdx,EXISTS,2179,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol/x-design-philosophy.mdx,EXISTS,123,true,true,banned:just,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol/x-design.mdx,EXISTS,1554,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol/x-livepeer-token.mdx,PLACEHOLDER,840,true,true,banned:just; deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol/x-overview.mdx,EXISTS,806,true,true,deprecated:broadcaster->gateway; deprecated:miner->orchestrator,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol/x-treasury.mdx,EXISTS,696,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol2/blockchain-contracts.mdx,EXISTS,3245,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol2/capabilities.mdx,STUB,0,false,false,,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol2/core-mechanisms.mdx,EXISTS,1478,true,true,banned:leverage; banned:seamless; deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol2/design-philosophy.mdx,EXISTS,123,true,true,banned:just,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol2/design.mdx,STUB,0,false,false,,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol2/economics.mdx,EXISTS,781,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol2/governance-model.mdx,EXISTS,1070,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol2/livepeer-governance.mdx,STUB,15,false,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol2/livepeer-token-economics.mdx,EXISTS,189,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol2/livepeer-token.mdx,PLACEHOLDER,840,true,true,banned:just; deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol2/overview.mdx,EXISTS,753,true,true,deprecated:broadcaster->gateway; deprecated:miner->orchestrator,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol2/technical-architecture.mdx,EXISTS,115,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/protocol2/treasury.mdx,EXISTS,696,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/resources/faq.mdx,EXISTS,568,true,true,banned:leverage; deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/resources/knowledge-hub/contributor-orientation.mdx,EXISTS,69,true,true,,,
